,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
335,"Agronomic Calendars for the Bushland, Texas Winter Wheat Datasets",dataset,"Agronomic Calendars for the Bushland, Texas Winter Wheat Datasets
https://data.nal.usda.gov/dataset/agronomic-calendars-bushland-texas-winter-wheat-datasets
This dataset consists of agronomic calendars for each growing season (year) when winter wheat (Triticum aestivum L.) was grown for grain at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL). Winter wheat was grown for grain on two large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The four square fields are themselves arranged in a larger square with the fields in four adjacent quadrants of the larger square. Fields and lysimeters within each field are thus designated northeast (NE), southeast (SE), northwest (NW), and southwest (SW). Irrigation was by linear move sprinkler system. Irrigations designated as full were managed to replenish soil water used by the crop on a weekly or more frequent basis as determined by soil profile water content readings made with a neutron probe to 2.4-m depth in the field. Irrigations designated as deficit typically involved full irrigation to establish the crop followed by limited or no irrigation in the later winter and spring. A crop calendar for each season lists by date the pertinent agronomic and maintenance operations (e.g., planting, thinning, fertilization, pesticide application, lysimeter maintenance, harvest). For each season there is a crop calendar for the two lysimeters. In the 1989-1990 seasons the NW and SW lysimeters and fields were planted to winter wheat, and in the 1991-1992 season the NE and SE lysimeters and fields were planted to winter wheat.
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield and have been used by the Agricultural Model Intercomparison and Improvement Project (AgMIP), and by many others for testing, and calibrating models of ET that use satellite and/or weather data.",opensource,excel,Excel,server,Data are in the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Agronomic Calendars for the Bushland, Texas Winter Wheat Datasets","Agronomic Calendars for the Bushland, Texas Winter Wheat Datasets",Crop
350,"Agronomic Calendars for the Bushland, Texas Maize for Grain Datasets",dataset,"Agronomic Calendars for the Bushland, Texas Maize for Grain Datasets
https://doi.org/10.15482/USDA.ADC/1526331
This dataset consists of agronomic calendars for each growing season (year) when maize was grown for grain at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL). Maize was grown for grain on four large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The four square fields are themselves arranged in a larger square with the fields in four adjacent quadrants of the larger square. Fields and lysimeters within each field are thus designated northeast (NE), southeast (SE), northwest (NW), and southwest (SW). Irrigation was by linear move sprinkler system in 1989, 1990, and 1994. In 2013, 2016, and 2018, two lysimeters and their respective fields (NE and SE) were irrigated using subsurface drip irrigation (SDI), and two lysimeters and their respective fields (NW and SW) were irrigated by a linear move sprinkler system. Irrigations were managed to replenish soil water used by the crop on a weekly or more frequent basis as determined by soil profile water content readings made with a neutron probe to 2.4-m depth in the field. A crop calendar for each season lists by date the pertinent agronomic and maintenance operations (e.g., planting, thinning, fertilization, pesticide application, lysimeter maintenance, harvest). For each year there is a crop calendar for the two east lysimeters (NE and SE) and another calendar for the two west lysimeters (NW and SW).
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on maize ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield and have been used by the Agricultural Model Intercomparison and Improvement Project (AgMIP), by OPENET, and by many others for testing, and calibrating models of ET that use satellite and/or weather data.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Agronomic Calendars for the Bushland, Texas Maize for Grain Datasets","Agronomic Calendars for the Bushland, Texas Maize for Grain Datasets",Crop
197,AgriMet,dataset,"Regional network of weather stations collecting climatic data, which is used to compute crop water requirements.  Includes a database of climatic data and computed values such as ET, growing degree days, etc",owned,excel,NA,other,unknown,public,ARS,King_Bradley,unknown,continuous,FALSE,TRUE,FALSE,NA,AgriMet,AgriMet,Weather
76,AGRICOLA,dataset,"Contains a catalog of much broader scope of library materials such as books, journals, maps, articles, etc. in agriculture accessible through the library's catalog, AGRICOLA, which is also available through external databases.

URL: https://agricola.nal.usda.gov/",commercial,other,MARC21 and MODS,cloud,NA,public,ARS,Xu_Amanda,1tb,other,FALSE,FALSE,FALSE,"Acquired through purchasing, donating, licensing, etc.",AGRICOLA,AGRICOLA,NA
10,Agricultural Collaborative Research Outcomes System (AgCROS),dataset,https://agcros-usdaars.opendata.arcgis.com/,owned,database,NA,server,NA,public,ARS,Del Grosso_Stephen,unknown,observational,FALSE,FALSE,TRUE,NA,AgCROS,AgCROS,NA
11,AgCROS,dataset,"Long-term field datasets (yield, weather, GHG emissions, soil properties, etc)",commercial,excel,NA,server,Local drive and uploaded to AgCROS server (ESRI address).,hybrid,ARS,Schmer_Marty,100gb,observational,FALSE,FALSE,TRUE,NA,AgCROS,AgCROS,NA
85,AgCROS,dataset,https://agcros-usdaars.opendata.arcgis.com/,owned,geoformat,NA,cloud,NA,hybrid,ARS,Messinger_Lindsey,unknown,observational,FALSE,FALSE,TRUE,NA,AgCROS,AgCROS,NA
89,Ag CROS,dataset,"The AgCROS platform has been key to the storage of datasets and the organization of collaborative data management. We use it in a variety of network setting, from LTAR to NUONET to the Soil Biology Working Group.",owned,other,This is a platform with many data sets,server,NA,hybrid,ARS,Kleinman_Peter,unknown,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,AgCROS,AgCROS,NA
108,AgCROS Data,dataset,Storage of research data,owned,excel,excel,local,NA,hybrid,ARS,Osborne_Shannon,100gb,observational,FALSE,FALSE,TRUE,NA,AgCROS,AgCROS,NA
289,AgCROS,dataset,https://agcros-usdaars.opendata.arcgis.com/,owned,database,Previously Access-based; no current activity on AgCROS so many users (like myself) have a lot of data to contribute and no ability to upload.,server,"Again, no updates provided to ARS users of AgCROS - previously all data stored at Fort Collins server, but perhaps moving to Azure?  No idea - poor communication from PDI",hybrid,ARS,Jin_Virginia,unknown,observational,FALSE,FALSE,TRUE,NA,AgCROS,AgCROS,NA
355,AgCros,dataset,"https://agcros-usdaars.opendata.arcgis.com/
REAP,
GRACEnet
LTAR 
Soil Biology",owned,other,"multiple, as it has image and data, GIS unsure on exact format",other,I don't know,hybrid,ARS,Johnson_Jane,unknown,observational,FALSE,FALSE,TRUE,NA,AgCROS,AgCROS,NA
95,Ag Data Commons,dataset,https://data.nal.usda.gov/search,owned,excel,https://data.nal.usda.gov/guidelines-formatting-data,server,https://data.nal.usda.gov/about-ag-data-commons,public,ARS,Colaizzi_Paul,unknown,observational,FALSE,FALSE,TRUE,NA,Ag Data Commons,Ag Data Commons,NA
131,Ag Data Commons,dataset,"Ag Data Commons Is a catalog and data repository for USDA-funded research data<U+200B>

It provides a platform for creating, curating, and enabling access to complete and machine-readable scientific metadata (FAIR data)<U+200B>

It promotes credit to USDA researchers  through citations, links to other scholarly publications and systems such as PubAg and ORCiD,  and DOIs to Ag Data Commons' held data files

It helps the USDA-funded research community meet public access requirements",opensource,other,"various data format including text, csv, zip, pdf, bin, tar, png, docx, jpeg, excel, xml, fasta, xlb, json, mp4, rtf, vcf, geojson, GFF, kmz, PAF, par, R, SAS, shp, xlsm, xlxs",local,Ag Data Commons will be migrated to an Azure Gov Cloud by Aug 2022.,hybrid,ARS,Chan_Ming,1tbplus,"imagery,observational",TRUE,FALSE,TRUE,NA,Ag Data Commons,Ag Data Commons,NA
134,AERMOD Meteorological Surface Data,dataset,National Weather Service data Surface hourly Meteorological data for AERMOD dispersion modeling,opensource,excel,CSV,local,NA,private,ARS,Whitelock_Derek,100gb,continuous,FALSE,TRUE,FALSE,NA,AERMOD,AERMOD,Weather
135,AERMOD Meteorological NWS sounding data,dataset,"NWS rawinsonde (sounding) data that provide information on the vertical structure of the
atmosphere. The height, pressure, dry bulb temperature, relative humidity and winds",opensource,excel,NA,local,NA,private,ARS,Whitelock_Derek,100gb,continuous,FALSE,TRUE,FALSE,NA,AERMOD,AERMOD,Weather
259,Aceria salsolae performance on nontarget plants in the laboratory and in the field,dataset,"Raw data from the publication, Marini, F.; Weyl, P.; Vidovic, B.; Petanovic, R.; Littlefield, J.; Simoni, S.; de Lillo, E.; Cristofaro, M.; Smith, L. 2021. Eriophyid mites in classical biological control of weeds: Progress and challenges. Insects 2021, 12(6): 513.
Available at Ag Data Commons. https://doi.org/10.15482/USDA.ADC/1520431
",opensource,excel,csv,server,NA,public,ARS,Smith_Lincoln,100gb,observational,FALSE,FALSE,TRUE,NA,Aceria salsolae performance on nontarget plants in the laboratory and in the field,Aceria salsolae performance on nontarget plants in the laboratory and in the field,NA
13,ACE,dataset,https://ace.cbp.gov/s/login/?startURL=%2Fidp%2Flogin%3Fapp%3D0spt0000000XZB0%26RelayState%3Duuid295975e0-9b21-4b55-b734-cb0564ffa319%26binding%3DHttpPost%26inresponseto%3DFIMREQ_a96998a6-0180-10e5-ab02-dd0f61affb02,owned,database,NA,other,US Boarder Control site,private,AMS,Smit_Tiffany,unknown,observational,FALSE,FALSE,TRUE,NA,ACE,ACE,NA
402,ACE,dataset,"This is a CBP resource, utilized by SITC.
https://www.cbp.gov/trade/automated?language_content_entity=en

The Automated Commercial Environment (ACE) is the system through which the trade community reports imports and exports and the government determines admissibility. CBP Trade applies expertise, technology, and automation to create streamlined and efficient processes to facilitate the global exchange of safe and legitimate goods.<U+200B><U+200B><U+200B><U+200B>",owned,other,No idea.,other,CBP-hosted resource,private,APHIS,Davis_Eoin,unknown,"continuous,observational,other",FALSE,TRUE,TRUE,Don't know all of CBP's collection methods.,ACE,ACE,NA
403,GCMC (found within ACE),dataset,"This is a CBP resource, utilized by SITC.
https://www.cbp.gov/trade/automated?language_content_entity=en

The Automated Commercial Environment (ACE) is the system through which the trade community reports imports and exports and the government determines admissibility. CBP Trade applies expertise, technology, and automation to create streamlined and efficient processes to facilitate the global exchange of safe and legitimate goods.<U+200B><U+200B><U+200B><U+200B>",owned,other,No idea.,other,CBP-owned resource.,private,APHIS,Davis_Eoin,unknown,"continuous,observational,other",FALSE,TRUE,TRUE,Don't know all of CBP's methods.,ACE,ACE,NA
404,Multi Model Manifest (accessed through ACE),dataset,"This is a CBP resource, utilized by SITC.
https://www.cbp.gov/trade/automated?language_content_entity=en

The Automated Commercial Environment (ACE) is the system through which the trade community reports imports and exports and the government determines admissibility. CBP Trade applies expertise, technology, and automation to create streamlined and efficient processes to facilitate the global exchange of safe and legitimate goods.<U+200B><U+200B><U+200B><U+200B>

Accessed in IE browser since we use an old version of Java – so now it does not work  - Need to have IT install an old Java version on Edge.",owned,other,No idea.,other,CBP-owned resource,private,APHIS,Davis_Eoin,unknown,"continuous,observational,other",FALSE,TRUE,TRUE,Don't know all of CBP's methods.,ACE,ACE,NA
